article_number	structural_index	entity_type	concept	subject	action	object	legal_force	full_text
제3조	[]	DEFINITION	정의				DEFINITIONAL	제3조에 따른 금융 위원회(이하 “금융위원회”라 한다)가 정하는 자를 말한다. 6. “결제중계시스템”이라 함은 금융회사와 전자금융업자 사이에 전자금융거래정보를 전달하여 자금정산 및 결제에 관한 업무를 수행하는 금융정보처리운영체계를 말한다. 7. “이용자”라 함은 전자금융거래를 위하여 금융회사 또는 전자금융업자와 체결한 계약(이하 “전자금융거래계약”이라 한다)에 따라 전자금융거래를 이용하는 자를 말한다. 8. “전자적 장치”라 함은 전자금융거래정보를 전자적 방법으로 전송하거나 처리하는데 이용되는 장치로서 현금자동 지급기, 자동입출금기, 지급용단말기, 컴퓨터, 전화기 그 밖에 전자적 방법으로 정보를 전송하거나 처리하는 장치를 말한다. 9. “전자문서”라 함은 「전자문서 및 전자거래 기본법」
제2조제1호	[]	DEFINITION	접근매체			수단 또는 정보	DEFINITIONAL	제2조제1호에 따른 작성, 송신ㆍ수신 또는 저장된 정보를 말한다. 10. “접근매체”라 함은 전자금융거래에 있어서 거래지시를 하거나 이용자 및 거래내용의 진실성과 정확성을 확보하기 위하여 사용되는 다음 각 목의 어느 하나에 해당하는 수단 또는 정보를 말한다. 가. 전자식 카드 및 이에 준하는 전자적 정보 나. 「전자서명법」
제2조제3호	[]	DEFINITION	전자지급수단				DEFINITIONAL	제2조제3호에 따른 전자서명생성정보 및 같은 조 제6호에 따른 인증서 다. 금융회사 또는 전자금융업자에 등록된 이용자번호 라. 이용자의 생체정보 마. 가목 또는 나목의 수단이나 정보를 사용하는데 필요한 비밀번호 11. “전자지급수단”이라 함은 전자자금이체, 직불전자지급수단, 선불전자지급수단, 전자화폐, 신용카드, 전자채권 그 밖에 전자적 방법에 따른 지급수단을 말한다. 12. “전자자금이체”라 함은 지급인과 수취인 사이에 자금을 지급할 목적으로 금융회사 또는 전자금융업자에 개설된 계좌(금융회사에 연결된 계좌에 한한다. 이하 같다)에서 다른 계좌로 전자적 장치에 의하여 다음 각 목의 어느 하 나에 해당하는 방법으로 자금을 이체하는 것을 말한다. 법제처 4 국가법령정보센터 전자금융거래법 가. 금융회사 또는 전자금융업자에 대한 지급인의 지급지시 나. 금융회사 또는 전자금융업자에 대한 수취인의 추심지시(이하 “추심이체”라 한다) 13. “직불전자지급수단”이라 함은 이용자와 가맹점간에 전자적 방법에 따라 금융회사의 계좌에서 자금을 이체하는 등의 방법으로 재화 또는 용역의 제공과 그 대가의 지급을 동시에 이행할 수 있도록 금융회사 또는 전자금융업자 가 발행한 증표(자금을 융통받을 수 있는 증표를 제외한다) 또는 그 증표에 관한 정보를 말한다. 14. “선불전자지급수단”이라 함은 이전 가능한 금전적 가치가 전자적 방법으로 저장되어 발행된 증표(전자적 방법 으로 변환되어 저장된 증표를 포함한다) 또는 그 증표에 관한 정보로서 발행인(대통령령으로 정하는 특수관계인 을 포함한다) 외의 제3자로부터 재화 또는 용역을 구입하고 그 대가를 지급하는데 사용되는 것을 말한다. 다만, 전자화폐를 제외한다. 가. 삭제<2023. 9. 14.> 나. 삭제<2023. 9. 14.> 15. “전자화폐”라 함은 이전 가능한 금전적 가치가 전자적 방법으로 저장되어 발행된 증표 또는 그 증표에 관한 정 보로서 다음 각 목의 요건을 모두 갖춘 것을 말한다. 가. 대통령령이 정하는 기준 이상의 지역 및 가맹점에서 이용될 것 나. 제14호 가목의 요건을 충족할 것 다. 구입할 수 있는 재화 또는 용역의 범위가 5개 이상으로서 대통령령이 정하는 업종 수 이상일 것 라. 현금 또는 예금과 동일한 가치로 교환되어 발행될 것 마. 발행자에 의하여 현금 또는 예금으로 교환이 보장될 것 16. “전자채권”이라 함은 다음 각 목의 요건을 갖춘 전자문서에 기재된 채권자의 금전채권을 말한다. 가. 채무자가 채권자를 지정할 것 나. 전자채권에 채무의 내용이 기재되어 있을 것 다. 「전자서명법」
제2조제2호	[]	DEFINITION	전자서명				DEFINITIONAL	제2조제2호에 따른 전자서명(서명자의 실지명의를 확인할 수 있는 것을 말한다)이 있을 것 라. 금융회사를 거쳐
제29조제1항	[]	REGULATION	전자채권관리기관		등록되다	전자문서	MANDATORY	제29조제1항의 규정에 따른 전자채권관리기관(이하 “전자채권관리기관”이라 한다)에 등록될 것 마. 채무자가 채권자에게 가목 내지 다목의 요건을 모두 갖춘 전자문서를 「전자문서 및 전자거래 기본법」
제6조 제1항	[None, None, 6, 1]	PROCEDURE	송신	채권자	송신	같은 법	MANDATORY	제6조 제1항에 따라 송신하고 채권자가 이를 같은 법
제6조제2항	[]	DEFINITION	용어 정의				DEFINITIONAL	제6조제2항의 규정에 따라 수신할 것 17. “거래지시”라 함은 이용자가 전자금융거래계약에 따라 금융회사 또는 전자금융업자에게 전자금융거래의 처리를 지시하는 것을 말한다. 18. “오류”라 함은 이용자의 고의 또는 과실 없이 전자금융거래가 전자금융거래계약 또는 이용자의 거래지시에 따라 이행되지 아니한 경우를 말한다. 19. “전자지급결제대행”이란 제3자 사이에서 이루어지는 재화의 공급 또는 용역의 제공에 대한 대가의 지급이 전자 지급수단으로 이루어지는 경우에 그 대가를 수수하고 정산을 대행하는 것을 말한다. 다만, 「전자상거래 등에서의 소비자보호에 관한 법률」에 따른 통신판매중개 등 다른 업무를 영위하는 과정에서 부수적으로 대가를 수수하고 정산을 대행하는 경우는 제외한다. 20. “가맹점”이란 다음 각 목의 자를 말한다. 가. 금융회사 또는 전자금융업자와의 계약에 따라 직불전자지급수단이나 선불전자지급수단 또는 전자화폐에 의한 거래에 있어서 이용자에게 재화 또는 용역을 제공하는 자 나. 금융회사 또는 전자금융업자와의 계약에 따라 이용자에게 재화 또는 용역을 제공하는 자를 위하여 직불전자 지급수단이나 선불전자지급수단 또는 전자화폐에 의한 거래를 대행하는 자로서 대통령령으로 정하는 자 21. “전자금융기반시설”이란 전자금융거래에 이용되는 정보처리시스템 및 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」
제2조제1항제1호	[]	DEFINITION	전자적 침해행위				DEFINITIONAL	제2조제1항제1호에 따른 정보통신망을 말한다. 22. “전자적 침해행위”란 해킹, 컴퓨터 바이러스, 논리폭탄, 메일폭탄, 서비스 거부 또는 고출력 전자기파 등의 방법 으로 전자금융기반시설을 공격하는 행위를 말한다. 법제처 5 국가법령정보센터 전자금융거래법 [시행일: 2026. 12. 17.]
제2조	[]							제2조
제3조	[]	REGULATION	적용범위	법	적용	전자금융거래	MANDATORY	제3조(적용범위) ①이 법은 다른 법률에 특별한 규정이 있는 경우를 제외하고 모든 전자금융거래에 적용한다. 다만, 금융회사 및 전자금융업자간에 따로 정하는 계약에 따라 이루어지는 전자금융거래 가운데 대통령령이 정하는 경우에는 이 법을 적용하지 아니한다. <개정 2013. 5. 22.> ②제5장의 규정은
제2조제3호	[None, None, 2, 3]	REGULATION	다목 및 라목의 금융회사		적용하지 않다	다목 및 라목의 금융회사	PROHIBITIVE	제2조제3호 다목 및 라목의 금융회사에 대하여는 이를 적용하지 아니한다.<개정 2013. 5. 22.> ③ 금융회사 중 전자금융거래의 빈도, 회사의 규모 등을 고려하여 대통령령으로 정하는 금융회사에 대하여는 다음 각 호를 적용하지 아니한다.<신설 2013. 5. 22.> 1.
제21조제2항	[]	REGULATION	기준 준수		준수	기준	MANDATORY	제21조제2항의 인력, 시설, 전자적 장치 등의 정보기술부문 및 전자금융업무에 관하여 금융위원회가 정하는 기준 준수 2.
제21조제4항	[]	PROCEDURE	계획수립 및 제출	정보기술부문	계획수립 및 제출		MANDATORY	제21조제4항의 정보기술부문의 계획수립 및 제출 3.
제21조의2	[]	REGULATION	정보보호최고책임자 지정		지정	정보보호최고책임자		제21조의2의 정보보호최고책임자 지정 4.
제21조의3	[]	REGULATION	취약점 분석·평가			전자금융기반시설		제21조의3의 전자금융기반시설의 취약점 분석ㆍ평가
제3조	[]	REGULATION	적용범위		적용	전자금융거래	MANDATORY	제3조(적용범위) ①이 법은 다른 법률에 특별한 규정이 있는 경우를 제외하고 모든 전자금융거래에 적용한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 이 법을 적용하지 아니한다. <개정 2013. 5. 22., 2025. 12. 16.> 1. 금융회사 및 전자금융업자 간에 따로 정하는 계약에 따라 이루어지는 전자금융거래 가운데 대통령령으로 정하는 경우 2. 다음 각 목의 법률에 따른 업무를 영위하는 과정에서 부수적으로 대가를 수수하여 정산을 대행하는 경우 가. 「가맹사업거래의 공정화에 관한 법률」 나. 「대규모유통업에서의 거래 공정화에 관한 법률」 다. 「여객자동차 운수사업법」 라. 「전자상거래 등에서의 소비자보호에 관한 법률」 마. 가목부터 라목까지의 법률과 유사한 업무를 규율하는 경우로서 대통령령으로 정하는 법률 ②제5장의 규정은
제2조제3호	[]	REGULATION	예외 적용	금융회사	적용하지 않다	다목 및 라목의 금융회사	PROHIBITIVE	제2조제3호 다목 및 라목의 금융회사에 대하여는 이를 적용하지 아니한다.<개정 2013. 5. 22.> ③ 금융회사 중 전자금융거래의 빈도, 회사의 규모 등을 고려하여 대통령령으로 정하는 금융회사에 대하여는 다음 각 호를 적용하지 아니한다.<신설 2013. 5. 22.> 1.
제21조제2항	[]	REGULATION	기준 준수		준수	기준	MANDATORY	제21조제2항의 인력, 시설, 전자적 장치 등의 정보기술부문 및 전자금융업무에 관하여 금융위원회가 정하는 기준 준수
제21조제4항	[None, None, 21, 4]	PROCEDURE	계획수립 및 제출	정보기술부문	계획수립 및 제출			제21조제4항의 정보기술부문의 계획수립 및 제출 3.
제21조의2	[]	REGULATION	정보보호최고책임자 지정		지정	정보보호최고책임자	MANDATORY	제21조의2의 정보보호최고책임자 지정 4.
제21조의3	[]	CONCEPT	취약점 분석ㆍ평가					제21조의3의 전자금융기반시설의 취약점 분석ㆍ평가 [시행일: 2026. 12. 17.]
제3조	[]							제3조
제4조	[2, 1, 4, None]	REGULATION	상호주의	법	적용	외국인·외국법인	MANDATORY	제4조(상호주의) 외국인 또는 외국법인에 대하여도 이 법을 적용한다. 다만, 대한민국 국민 또는 대한민국 법인에 대하여 이 법에 준하는 보호를 하지 아니하는 국가의 외국인 또는 외국법인에 대하여는 그에 상응하여 이 법 또는 대한민국이 가입하거나 체결한 조약에 따른 보호를 제한할 수 있다.
제5조	[]	REGULATION	전자문서				MANDATORY	제5조(전자문서의 사용) ①전자금융거래를 위하여 사용되는 전자문서에 대하여는 「전자문서 및 전자거래 기본법」
제4조	[]							
제7조까지	[]							제7조까지,
제9조	[]							제9조 및
제10조	[]	REGULATION	전자문서	금융회사·전자금융업자	본다	전자문서	MANDATORY	제10조를 적용한다. <개정 2012. 6. 1.> ②금융회사 또는 전자금융업자가 거래지시와 관련하여 수신한 전자문서는 각 문서마다 독립된 것으로 본다. 다만, 금융회사 또는 전자금융업자와 이용자 사이에 전자금융거래계약에 따라 확인절차를 거치는 경우에는 그 절차에 따 법제처 6 국가법령정보센터 전자금융거래법 른다.<개정 2013. 5. 22.>
제6조	[]	ACTOR	접근매체	금융회사 또는 전자금융업자	선정·사용·관리	접근매체	MANDATORY	제6조(접근매체의 선정과 사용 및 관리) ①금융회사 또는 전자금융업자는 전자금융거래를 위하여 접근매체를 선정하여 사용 및 관리하고 이용자의 신원, 권한 및 거래지시의 내용 등을 확인하여야 한다. <개정 2013. 5. 22.> ②금융회사 또는 전자금융업자가 접근매체를 발급할 때에는 이용자의 신청이 있는 경우에 한하여 본인임을 확인한 후에 발급하여야 한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 이용자의 신청이나 본인의 확인이 없는 때에도 발급할 수 있다.<개정 2013. 5. 22.> 1. 선불전자지급수단 또는
제16조제1항	[]	REGULATION	접근매체 사용 및 관리	누구	행위	각 호	PROHIBITIVE	제16조제1항 단서의 규정에 따른 전자화폐인 경우 2. 접근매체의 갱신 또는 대체발급 등을 위하여 대통령령이 정하는 바에 따라 이용자의 동의를 얻은 경우 ③ 누구든지 접근매체를 사용 및 관리함에 있어서 다른 법률에 특별한 규정이 없는 한 다음 각 호의 행위를 하여서는 아니 된다. 다만,
제18조	[]	REGULATION	접근매체		양도·담보제공	접근매체	PROHIBITIVE	제18조에 따른 선불전자지급수단이나 전자화폐의 양도 또는 담보제공을 위하여 필요한 경우(제 3호의 행위 및 이를 알선ㆍ중개하는 행위는 제외한다)에는 그러하지 아니하다.<개정 2008. 12. 31., 2015. 1. 20., 2016. 1. 27., 2020. 5. 19.> 1. 접근매체를 양도하거나 양수하는 행위 2. 대가를 수수(授受)ㆍ요구 또는 약속하면서 접근매체를 대여받거나 대여하는 행위 또는 보관ㆍ전달ㆍ유통하는 행 위 3. 범죄에 이용할 목적으로 또는 범죄에 이용될 것을 알면서 접근매체를 대여받거나 대여하는 행위 또는 보관ㆍ전 달ㆍ유통하는 행위 4. 접근매체를 질권의 목적으로 하는 행위 5. 제1호부터 제4호까지의 행위를 알선ㆍ중개ㆍ광고하거나 대가를 수수(授受)ㆍ요구 또는 약속하면서 권유하는 행 위 ④ 금융회사ㆍ전자금융업자 및 전자금융보조업자(이하 “금융회사등”이라 한다)가 전자적 장치의 작동오류 등 불가 피한 사유로 이용자의 접근매체를 획득한 경우 그 접근매체를 그 이용자에게 반환할 때에는 신분증 제시 요청 등의 방법으로 본인임을 확인할 수 있다.<신설 2020. 5. 19.> ⑤ 제4항에 따른 본인확인을 요청할 수 있는 사유 및 본인확인 방법은 대통령령으로 정한다.<신설 2020. 5. 19.>
제6조의2	[]	REGULATION	전화번호 이용중지	검찰총장·경찰청장·금융감독원장	이용중지	전화번호		제6조의2(불법 광고에 이용된 전화번호의 이용중지 등) ① 검찰총장, 경찰청장 또는 금융감독원장(「금융위원회의 설치 등에 관한 법률」
제29조	[]	DEFINITION	금융감독원장		말한다		DEFINITIONAL	제29조에 따른 금융감독원장을 말한다. 이하 같다)은
제6조제3항제5호	[None, None, 6, 3]	PROCEDURE	전기통신역무 제공 중지	과학기술정보통신부장관	요청	전기통신역무 제공의 중지	PERMISSIVE	제6조제3항제5호에 따른 불법광고에 이용된 전화번호를 확인한 때에는 과학기술정보통신부장관에게 해당 전화번호에 대한 전기통신역무 제공의 중지를 요청할 수 있다. <개정 2017. 7. 26.> ② 제1항에 따른 요청으로 전기통신역무 제공이 중지된 사람은 전기통신역무 제공의 중지를 요청한 자에게 이의신 청을 할 수 있다. ③ 제2항에 따른 이의신청의 절차 등에 필요한 사항은 대통령령으로 정한다. [본조신설 2016. 1. 27.]
제6조의3	[]	REGULATION	계좌정보의 사용 및 관리	누구든지	제공·보관·전달·유통	계좌와 관련된 정보	PROHIBITIVE	제6조의3(계좌정보의 사용 및 관리) 누구든지 계좌와 관련된 정보를 사용 및 관리함에 있어서 범죄에 이용할 목적으로 또는 범죄에 이용될 것을 알면서 계좌와 관련된 정보를 제공받거나 제공하는 행위 또는 보관ㆍ전달ㆍ유통하는 행위 를 하여서는 아니 된다. [본조신설 2020. 5. 19.]
제7조	[]	ACTOR	거래내용 확인	금융회사 또는 전자금융업자	확인	거래내용	MANDATORY	제7조(거래내용의 확인) ①금융회사 또는 전자금융업자는 이용자가 전자금융거래에 사용하는 전자적 장치(금융회사 또는 전자금융업자와 이용자 사이에 미리 약정한 전자적 장치가 있는 경우에는 그 전자적 장치를 포함한다)를 통하여 거래내용을 확인할 수 있도록 하여야 한다. <개정 2013. 5. 22.> ②금융회사 또는 전자금융업자는 이용자가 거래내용을 서면(전자문서를 제외한다. 이하 같다)으로 제공할 것을 요청하는 경우에는 그 요청을 받은 날부터 2주 이내에 거래내용에 관한 서면을 교부하여야 한다.<개정 2013. 5. 22.> 법제처 7 국가법령정보센터 전자금융거래법 ③제1항 및 제2항의 규정에 따라 제공하는 거래내용의 대상기간, 종류 및 범위 등에 관한 사항은 대통령령으로 정한다.
제8조	[]	REGULATION	오류 정정	금융회사 또는 전자금융업자	조사·처리·알리다	오류의 원인과 처리 결과	MANDATORY	제8조(오류의 정정 등) ①이용자는 전자금융거래에 오류가 있음을 안 때에는 그 금융회사 또는 전자금융업자에게 이에 대한 정정을 요구할 수 있다. <개정 2013. 5. 22.> ②금융회사 또는 전자금융업자는 제1항의 규정에 따른 오류의 정정요구를 받은 때에는 이를 즉시 조사하여 처리한 후 정정요구를 받은 날부터 2주 이내에 오류의 원인과 처리 결과를 대통령령으로 정하는 방법에 따라 이용자에게 알려야 한다.<개정 2008. 12. 31., 2013. 5. 22.> ③금융회사 또는 전자금융업자는 스스로 전자금융거래에 오류가 있음을 안 때에는 이를 즉시 조사하여 처리한 후 오류가 있음을 안 날부터 2주 이내에 오류의 원인과 처리 결과를 대통령령으로 정하는 방법에 따라 이용자에게 알려야 한다.<개정 2008. 12. 31., 2013. 5. 22.>
제9조	[None, None, 9, 1]	REGULATION	배상 책임	금융회사 또는 전자금융업자	배상	손해	MANDATORY	제9조(금융회사 또는 전자금융업자의 책임) ①금융회사 또는 전자금융업자는 다음 각 호의 어느 하나에 해당하는 사고 로 인하여 이용자에게 손해가 발생한 경우에는 그 손해를 배상할 책임을 진다. <개정 2013. 5. 22.> 1. 접근매체의 위조나 변조로 발생한 사고 2. 계약체결 또는 거래지시의 전자적 전송이나 처리 과정에서 발생한 사고 3. 전자금융거래를 위한 전자적 장치 또는 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」
