article_number	structural_index	entity_type	concept	subject	action	object	legal_force	full_text
Unknown	[]	REGULATION	Unknown					제10조제3호에 따른 보험종목을 취급할 수 있다. ⑥ 보험업의 허가를 받을 수 있는 자는 주식회사, 상호회사 및 외국보험회사로 제한하며, 제1항에 따라 허가를 받은 외국보험회사의 국내지점(이하 “외국보험회사국내지점”이라 한다)은 이 법에 따른 보험회사로 본다. ⑦ 금융위원회는 제1항에 따른 허가에 조건을 붙일 수 있다. ⑧ 제7항에 따라 조건이 붙은 보험업 허가를 받은 자는 사정의 변경, 그 밖의 정당한 사유가 있는 경우에는 금융위 원회에 그 조건의 취소 또는 변경을 신청할 수 있다. 이 경우 금융위원회는 2개월 이내에 조건의 취소 또는 변경 여 부를 결정하고, 그 결과를 지체 없이 신청인에게 문서로 알려야 한다.<신설 2020. 12. 8.> [전문개정 2010. 7. 23.]
제5조	[]	REGULATION	허가신청서 제출		제출	허가신청서	MANDATORY	제5조(허가신청서 등의 제출)
제4조제1항	[]	REGULATION	허가 신청 서류	허가를 받으려는 자	제출	서류	MANDATORY	제4조제1항에 따라 허가를 받으려는 자는 신청서에 다음 각 호의 서류를 첨부하여 금융 위원회에 제출하여야 한다. 다만, 보험회사가 취급하는 보험종목을 추가하려는 경우에는 제1호의 서류는 제출하지 아니할 수 있다. <개정 2022. 12. 31.> 1. 정관 2. 업무 시작 후 3년간의 사업계획서(추정재무제표를 포함한다) 3. 경영하려는 보험업의 보험종목별 사업방법서, 보험약관, 보험료 및 해약환급금의 산출방법서(이하 “기초서류”라 한다) 중 대통령령으로 정하는 서류 4. 제1호부터 제3호까지의 규정에 따른 서류 이외에 대통령령으로 정하는 서류 [전문개정 2010. 7. 23.]
제6조	[6, None, None, None]	REGULATION	허가 요건	자	갖추다	요건	MANDATORY	제6조(허가의 요건 등) ① 보험업의 허가를 받으려는 자(외국보험회사 및 제3항에 따라 보험종목을 추가하려는 보험회 사는 제외한다)는 다음 각 호의 요건을 갖추어야 한다. <개정 2015. 7. 31.> 1.
제9조제1항 및 제2항	[]	REGULATION	자본금 또는 기금 보유	보험업자	보유	자본금	MANDATORY	"제9조제1항 및 제2항에 따른 자본금 또는 기금을 보유할 것 2. 보험계약자를 보호할 수 있고 그 경영하려는 보험업을 수행하기 위하여 필요한 전문 인력과 전산설비 등 물적(物 的) 시설을 충분히 갖추고 있을 것. 이 경우 대통령령으로 정하는 바에 따라 업무의 일부를 외부에 위탁하는 경우 에는 그 위탁한 업무와 관련된 전문 인력과 물적 시설을 갖춘 것으로 본다. 3. 사업계획이 타당하고 건전할 것 4. 대주주(최대주주의 특수관계인인 주주를 포함한다. 이하 이 조에서 같다)가 ""금융회사의 지배구조에 관한 법률"""
제5조제1항	[]	REGULATION	허가 요건	외국보험회사	갖추어야 한다	요건	MANDATORY	제5조제1항 각 호의 어느 하나에 해당하지 아니하고, 충분한 출자능력과 건전한 재무상태를 갖추고 있으며, 건전 한 경제질서를 해친 사실이 없을 것 ② 보험업의 허가를 받으려는 외국보험회사는 다음 각 호의 요건을 갖추어야 한다. 1.
Unknown	[]	REGULATION	Unknown					제9조제3항에 따른 영업기금을 보유할 것 2. 국내에서 경영하려는 보험업과 같은 보험업을 외국 법령에 따라 경영하고 있을 것 3. 자산상황ㆍ재무건전성 및 영업건전성이 국내에서 보험업을 경영하기에 충분하고, 국제적으로 인정받고 있을 것 4. 제1항제2호 및 제3호의 요건을 갖출 것 법제처 4 국가법령정보센터 보험업법 ③ 보험종목을 추가하여 허가를 받으려는 보험회사는 다음 각 호의 요건을 갖추어야 한다.<개정 2020. 12. 8.> 1. 제1항 또는 제2항의 요건을 충족할 것(다만, 제1항제4호의 허가 요건은 같은 호에도 불구하고 대통령령으로 정하 는 완화된 요건을 적용한다) 2. 대통령령으로 정하는 건전한 재무상태와 사회적 신용을 갖출 것 ④ 보험회사는 제1항제2호의 요건을 대통령령으로 정하는 바에 따라 보험업의 허가를 받은 이후에도 계속하여 유 지하여야 한다. 다만, 보험회사의 경영건전성을 확보하고 보험가입자 등의 이익을 보호하기 위하여 대통령령으로 정하는 경우로서 금융위원회의 승인을 받은 경우에는 그러하지 아니하다. ⑤ 삭제<2015. 7. 31.> ⑥ 삭제<2015. 7. 31.> ⑦ 삭제<2015. 7. 31.> ⑧ 제1항부터 제4항까지의 규정에 따른 허가, 승인의 세부 요건에 관하여 필요한 사항은 대통령령으로 정한다.<개 정 2015. 7. 31.> [전문개정 2010. 7. 23.]
제7조	[]		예비허가					제7조(예비허가) ①
제4조	[]	REGULATION	허가	금융위원회	심사	예비허가	MANDATORY	제4조에 따른 허가(이하 이 조에서 “본허가”라 한다)를 신청하려는 자는 미리 금융위원회에 예비허 가를 신청할 수 있다. ② 제1항에 따른 신청을 받은 금융위원회는 2개월 이내에 심사하여 예비허가 여부를 통지하여야 한다. 다만, 총리령 으로 정하는 바에 따라 그 기간을 연장할 수 있다. ③ 금융위원회는 제2항에 따른 예비허가에 조건을 붙일 수 있다. ④ 금융위원회는 예비허가를 받은 자가 제3항에 따른 예비허가의 조건을 이행한 후 본허가를 신청하면 허가하여야 한다. ⑤ 예비허가의 기준과 그 밖에 예비허가에 관하여 필요한 사항은 총리령으로 정한다. [전문개정 2010. 7. 23.]
제8조	[]	REGULATION	상호 또는 명칭	보험회사	표시	보험업 종류	MANDATORY	제8조(상호 또는 명칭) ① 보험회사는 그 상호 또는 명칭 중에 주로 경영하는 보험업의 종류를 표시하여야 한다. ② 보험회사가 아닌 자는 그 상호 또는 명칭 중에 보험회사임을 표시하는 글자를 포함하여서는 아니 된다. [전문개정 2010. 7. 23.]
제9조	[]	REGULATION	자본금 또는 기금	보험회사	납입	자본금 또는 기금	MANDATORY	제9조(자본금 또는 기금) ① 보험회사는 300억원 이상의 자본금 또는 기금을 납입함으로써 보험업을 시작할 수 있다. 다만, 보험회사가
제4조제1항	[4, 1, 0, 0]	REGULATION	자본금 또는 기금	보험회사	납입함으로써	자본금 또는 기금	MANDATORY	제4조제1항에 따른 보험종목의 일부만을 취급하려는 경우에는 50억원 이상의 범위에서 대통령령 으로 자본금 또는 기금의 액수를 다르게 정할 수 있다. ② 제1항에도 불구하고 모집수단 또는 모집상품의 종류ㆍ규모 등이 한정된 보험회사로서 다음 각 호의 어느 하나에 해당하는 보험회사는 다음 각 호의 구분에 따른 금액 이상의 자본금 또는 기금을 납입함으로써 보험업을 시작할 수 있다.<개정 2020. 12. 8.> 1. 전화ㆍ우편ㆍ컴퓨터통신 등 통신수단을 이용하여 대통령령으로 정하는 바에 따라 모집을 하는 보험회사(제2호에 따른 소액단기전문보험회사는 제외한다): 제1항에 따른 자본금 또는 기금의 3분의 2에 상당하는 금액 2. 모집할 수 있는 보험상품의 종류, 보험기간, 보험금의 상한액, 연간 총보험료 상한액 등 대통령령으로 정하는 기 준을 충족하는 소액단기전문보험회사: 10억원 이상의 범위에서 대통령령으로 정하는 금액 ③ 외국보험회사가 대한민국에서 보험업을 경영하려는 경우에는 대통령령으로 정하는 영업기금을 제1항 또는 제 2항의 자본금 또는 기금으로 본다. [전문개정 2010. 7. 23.]
제10조	[]	REGULATION	보험업 겸영 제한	보험회사	겸영	생명보험업과 손해보험업	MANDATORY	제10조(보험업 겸영의 제한) 보험회사는 생명보험업과 손해보험업을 겸영(兼營)하지 못한다. 다만, 다음 각 호의 어느 하나에 해당하는 보험종목은 그러하지 아니하다. 법제처 5 국가법령정보센터 보험업법 1. 생명보험의 재보험 및 제3보험의 재보험 2. 다른 법령에 따라 겸영할 수 있는 보험종목으로서 대통령령으로 정하는 보험종목 3. 대통령령으로 정하는 기준에 따라 제3보험의 보험종목에 부가되는 보험 [전문개정 2010. 7. 23.]
제11조	[0, 0, 11, 0]	REGULATION	경영건전성 해치지 않는 금융업무	보험회사	할 수 있다	금융업무	PERMISSIVE	제11조(보험회사의 겸영업무) 보험회사는 경영건전성을 해치거나 보험계약자 보호 및 건전한 거래질서를 해칠 우려가 없는 금융업무로서 다음 각 호에 규정된 업무를 할 수 있다. 이 경우 보험회사는 제1호 또는 제3호의 업무를 하려면 그 업무를 시작하려는 날의 7일 전까지 금융위원회에 신고하여야 한다. <개정 2020. 12. 8.> 1. 대통령령으로 정하는 금융 관련 법령에서 정하고 있는 금융업무로서 해당 법령에서 보험회사가 할 수 있도록 한 업무 2. 대통령령으로 정하는 금융업으로서 해당 법령에 따라 인가ㆍ허가ㆍ등록 등이 필요한 금융업무 3. 그 밖에 보험회사의 경영건전성을 해치거나 보험계약자 보호 및 건전한 거래질서를 해칠 우려가 없다고 인정되는 금융업무로서 대통령령으로 정하는 금융업무 [전문개정 2010. 7. 23.]
제11조의2	[]	REGULATION	부수업무	보험회사	신고	금융위원회	MANDATORY	제11조의2(보험회사의 부수업무) ① 보험회사는 보험업에 부수(附隨)하는 업무를 하려면 그 업무를 하려는 날의 7일 전 까지 금융위원회에 신고하여야 한다. 다만, 제5항에 따라 공고된 다른 보험회사의 부수업무(제3항에 따라 제한명령 또는 시정명령을 받은 것은 제외한다)와 같은 부수업무를 하려는 경우에는 신고를 하지 아니하고 그 부수업무를 할 수 있다. <개정 2020. 12. 8.> ② 금융위원회는 제1항 본문에 따른 신고를 받은 경우 그 내용을 검토하여 이 법에 적합하면 신고를 수리하여야 한 다.<신설 2020. 12. 8.> ③ 금융위원회는 보험회사가 하는 부수업무가 다음 각 호의 어느 하나에 해당하면 그 부수업무를 하는 것을 제한하거나 시정할 것을 명할 수 있다.<개정 2020. 12. 8.> 1. 보험회사의 경영건전성을 해치는 경우 2. 보험계약자 보호에 지장을 가져오는 경우 3. 금융시장의 안정성을 해치는 경우 ④ 제3항에 따른 제한명령 또는 시정명령은 그 내용 및 사유가 구체적으로 적힌 문서로 하여야 한다.<개정 2020. 12. 8.> ⑤ 금융위원회는 제1항 본문에 따라 신고받은 부수업무 및 제3항에 따라 제한명령 또는 시정명령을 한 부수업무를 대통령령으로 정하는 방법에 따라 인터넷 홈페이지 등에 공고하여야 한다.<개정 2020. 12. 8.> [본조신설 2010. 7. 23.]
제11조의3	[]	REGULATION	회계처리	보험회사				제11조의3(겸영업무ㆍ부수업무의 회계처리) 보험회사가
제11조	[]							제11조 및
제11조의2	[]	REGULATION	회계처리	업무	회계처리	보험업	MANDATORY	제11조의2에 따라 다른 금융업 또는 부수업무를 하 는 경우에는 대통령령으로 정하는 바에 따라 그 업무를 보험업과 구분하여 회계처리하여야 한다. <개정 2015. 7. 24.> [본조신설 2010. 7. 23.] [제목개정 2015. 7. 24.]
제12조	[]	REGULATION	국내사무소 설치	외국보험회사등	설치	국내사무소	PERMISSIVE	제12조(외국보험회사 등의 국내사무소 설치 등) ① 외국보험회사, 외국에서 보험대리 및 보험중개를 업(業)으로 하는 자 또는 그 밖에 외국에서 보험과 관련된 업을 하는 자(이하 “외국보험회사등”이라 한다)는 보험시장에 관한 조사 및 정 보의 수집이나 그 밖에 이와 비슷한 업무를 하기 위하여 국내에 사무소(이하 “국내사무소”라 한다)를 설치할 수 있다. ② 외국보험회사등이 제1항에 따라 국내사무소를 설치하는 경우에는 그 설치한 날부터 30일 이내에 금융위원회에 신고하여야 한다. ③ 국내사무소는 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니 된다. 법제처 6 국가법령정보센터 보험업법 1. 보험업을 경영하는 행위 2. 보험계약의 체결을 중개하거나 대리하는 행위 3. 국내 관련 법령에 저촉되는 방법에 의하여 보험시장의 조사 및 정보의 수집을 하는 행위 4. 그 밖에 국내사무소의 설치 목적에 위반되는 행위로서 대통령령으로 정하는 행위 ④ 국내사무소는 그 명칭 중에 사무소라는 글자를 포함하여야 한다. ⑤ 금융위원회는 국내사무소가 이 법 또는 이 법에 따른 명령 또는 처분을 위반한 경우에는 6개월 이내의 기간을 정하여 업무의 정지를 명하거나 국내사무소의 폐쇄를 명할 수 있다. [전문개정 2010. 7. 23.] 제3장 보험회사 <개정 2010. 7. 23.> 제1절 삭제 <2015. 7. 31.>
제13조	[]							제13조 삭제 <2015. 7. 31.>
제14조	[]		삭제					제14조 삭제 <2015. 7. 31.>
제15조	[]							제15조 삭제 <2015. 7. 31.>
제16조	[]	DEFINITION	삭제					제16조 삭제 <2015. 7. 31.>
제17조	[None, 2, 17, None]		삭제					제17조 삭제 <2015. 7. 31.> 제2절 주식회사 <개정 2010. 7. 23.>
제18조	[]	REGULATION	자본감소	보험회사인 주식회사	공고 및 승인	결의의 요지와 재무상태표	MANDATORY	제18조(자본감소) ① 보험회사인 주식회사(이하 “주식회사”라 한다)가 자본감소를 결의한 경우에는 그 결의를 한 날부 터 2주 이내에 결의의 요지와 재무상태표를 공고하여야 한다. <개정 2021. 4. 20.> ② 제1항에 따른 자본감소를 결의할 때 대통령령으로 정하는 자본감소를 하려면 미리 금융위원회의 승인을 받아야 한다. ③ 자본감소에 관하여는
제141조제2항ㆍ제3항	[]							제141조제2항ㆍ제3항,
Unknown	[]	REGULATION	Unknown					제149조 및
제151조제3항	[]	REGULATION	준용		준용	제151조제3항	MANDATORY	제151조제3항을 준용한다. [전문개정 2010. 7. 23.]
제19조	[]		삭제					제19조 삭제 <2015. 7. 31.>
제20조	[]	REGULATION	조직 변경	주식회사	변경	상호회사	PERMISSIVE	제20조(조직 변경) ① 주식회사는 그 조직을 변경하여 상호회사로 할 수 있다. ② 제1항에 따른 상호회사는
제9조	[]	REGULATION	기금의 총액	금융위원회	적립	준비금	MANDATORY	제9조에도 불구하고 기금의 총액을 300억원 미만으로 하거나 설정하지 아니할 수 있 다. ③ 제1항의 경우에는 손실 보전(補塡)에 충당하기 위하여 금융위원회가 필요하다고 인정하는 금액을 준비금으로 적 립하여야 한다. [전문개정 2010. 7. 23.]
제21조	[]	REGULATION	조직 변경	주식회사의 조직 변경	거쳐야	주주총회의 결의	MANDATORY	제21조(조직 변경 결의) ① 주식회사의 조직 변경은 주주총회의 결의를 거쳐야 한다. ② 제1항의 결의는 「상법」
제434조	[]		제434조					제434조에 따른다.
Unknown	[]	REGULATION	Unknown					제22조(조직 변경 결의의 공고와 통지) ① 주식회사가 조직 변경을 결의한 경우 그 결의를 한 날부터 2주 이내에 결의 의 요지와 재무상태표를 공고하고 주주명부에 적힌 질권자(質權者)에게는 개별적으로 알려야 한다. <개정 2021. 4. 20.> 법제처 7 국가법령정보센터 보험업법 ② 제1항의 경우에는
제141조제2항ㆍ제3항	[]		제141조제2항ㆍ제3항					제141조제2항ㆍ제3항과 「상법」
제232조	[]	PROCEDURE	준용	제232조	준용		MANDATORY	제232조를 준용한다. [전문개정 2010. 7. 23.]
제23조	[]	REGULATION	보험계약	주식회사				제23조(조직 변경 결의 공고 후의 보험계약) ① 주식회사는
제22조제1항	[None, None, 22, 1]	REGULATION	승낙	보험계약자	알리다	승낙	MANDATORY	제22조제1항에 따른 공고를 한 날 이후에 보험계약을 체결 하려면 보험계약자가 될 자에게 조직 변경 절차가 진행 중임을 알리고 그 승낙을 받아야 한다. ② 제1항에 따른 승낙을 한 보험계약자는 조직 변경 절차를 진행하는 중에는 보험계약자가 아닌 자로 본다. [전문개정 2010. 7. 23.]
Unknown	[]	REGULATION	Unknown					제24조(보험계약자 총회의 소집) ①
제22조제1항	[None, None, 22, 1]	CONCEPT	공고					제22조제1항의 공고에 대하여
제141조제2항	[]	REGULATION	보험계약자 수와 보험금	보험계약자	제출	이의		제141조제2항에서 규정하는 기간에 이의를 제출한 보험계약자의 수와 그 보험금이
제141조제3항	[]	REGULATION	비율	이사	초과하지 않다	비율	MANDATORY	제141조제3항에서 규정하는 비율을 초과하지 아니하는 경우에는 이사는 「상법」
제 232조	[]	PROCEDURE	보험계약자 총회 소집	보험계약자	소집	총회	MANDATORY	제 232조에 따른 절차가 끝나면 7일 이내에 보험계약자 총회를 소집하여야 한다. ② 제1항의 경우 보험계약자에 대한 통지에 관하여는 「상법」
제353조	[]	PROCEDURE	제353조 준용		준용	제353조	MANDATORY	제353조를 준용한다.
제25조	[]	REGULATION	보험계약자 총회 대행기관	주식회사	정할 수 있다	기관	PERMISSIVE	제25조(보험계약자 총회 대행기관) ① 주식회사는 조직 변경을 결의할 때 보험계약자 총회를 갈음하는 기관에 관한 사 항을 정할 수 있다. ② 제1항에 따른 기관에 대하여는 보험계약자 총회에 관한 규정을 준용한다. ③ 제1항에 따른 기관에 관한 사항을 정한 경우에는 그 기관의 구성방법을
제22조제1항	[]	REGULATION	공고의 내용		포함	공고의 내용	MANDATORY	제22조제1항에 따른 공고의 내용에 포함 하여야 한다.
제26조	[]	REGULATION	결의방법	보험계약자 총회	결의한다		MANDATORY	제26조(보험계약자 총회의 결의방법) ① 보험계약자 총회는 보험계약자 과반수의 출석과 그 의결권의 4분의 3 이상의 찬성으로 결의한다. ② 보험계약자총회에 관하여는
제55조	[]							제55조와 「상법」
제363조제1항ㆍ제2항	[]							제363조제1항ㆍ제2항,
제364조	[]							제364조
제367조	[]							
제368조제3항ㆍ제4항	[]							
제371조제2항	[]							제371조제2항
제372조	[]							제372조,
제373조	[]							제373조 및
Unknown	[]	REGULATION	Unknown					제376조부터
제381조	[]	REGULATION	규정 준용	법령	준용한다	규정	MANDATORY	제381조까지의 규정을 준용한다. [전문개정 2010. 7. 23.]
제27조	[]	REGULATION	보고	이사	보고	보험계약자 총회	MANDATORY	제27조(보험계약자 총회에서의 보고) 주식회사의 이사는 조직 변경에 관한 사항을 보험계약자 총회에 보고하여야 한다 . [전문개정 2010. 7. 23.]
제28조	[]	REGULATION	결의	보험계약자 총회	결의	정관의 변경	MANDATORY	제28조(보험계약자 총회의 결의 등) ① 보험계약자 총회는 정관의 변경이나 그 밖에 상호회사의 조직에 필요한 사항을 결의하여야 한다. ②
제21조	[]	REGULATION	결의 변경	주식회사	받아야 한다	주주총회의 동의	MANDATORY	제21조제1항에 따른 결의는 제1항의 결의로 변경할 수 있다. 이 경우 주식회사의 채권자의 이익을 해치지 못한 다. ③ 제2항에 따른 변경으로 주주에게 손해를 입히게 되는 경우에는 주주총회의 동의를 받아야 한다. 이 경우
제21조	[]	REGULATION	준용		준용	제21조 제2항	MANDATORY	제21조 제2항을 준용한다. ④ 제1항의 결의에 관하여는 「상법」
제316조제2항	[None, None, 316, 2]	REGULATION	준용		준용	제316조제2항	MANDATORY	제316조제2항을 준용한다. [전문개정 2010. 7. 23.]
제29조	[]	REGULATION	등기	주식회사	등기를 하고	해산	MANDATORY	제29조(조직 변경의 등기) ① 주식회사가 그 조직을 변경한 경우에는 변경한 날부터 2주일 이내에 주된 사무소의 소재 지에서 주식회사는 해산의 등기를 하고 상호회사는
제40조제2항	[]	REGULATION	등기		등기		MANDATORY	제40조제2항에 따른 등기를 하여야 한다. <개정 2024. 9. 20.> ② 제1항에 따른 등기의 신청서에는 정관과 다음 각 호의 사항이 적힌 서류를 첨부하여야 한다. 1.
제21조제1항	[None, None, 21, 1]	PROCEDURE	결의	제21조제1항		결의 2		제21조제1항의 결의 2.
제22조제1항의 공고 3.	[0, 0, 22, 1]	PROCEDURE	공고		공고			제22조제1항의 공고 3.
제28조의	[]	PROCEDURE	결의 및 동의	법제처	결의 및 동의	보험업법	MANDATORY	제28조의 결의 및 동의 법제처 8 국가법령정보센터 보험업법 4.
제141조제3항의 이의(異義) 5	[None, None, 141, 5]		상법			상법		제141조제3항의 이의(異義) 5. 「상법」
제232조	[]	PROCEDURE	증명		증명	절차	MANDATORY	제232조에 따른 절차를 마쳤음을 증명하는 내용 [전문개정 2010. 7. 23.]
제30조	[None, None, 30, None]	REGULATION	입사	주식회사의 보험계약자	되다	상호회사의 사원	MANDATORY	제30조(조직 변경에 따른 입사) 주식회사의 보험계약자는 조직 변경에 따라 해당 상호회사의 사원이 된다. [전문개정 2010. 7. 23.]
제31조	[]	REGULATION	조직 변경				MANDATORY	제31조(「상법」 등의 준용) 주식회사의 조직 변경에 관하여는
제145조	[]		제145조					제145조와 「상법」
제40조	[]							
제339조	[]							
Unknown	[]	REGULATION	Unknown					제340조제1항ㆍ제 2항,
제439조제1항	[None, None, 439, 1]							제439조제1항,
Unknown	[]	REGULATION	Unknown					제445조 및
제446조	[]	REGULATION	준용	제446조	준용한다		MANDATORY	제446조를 준용한다. 이 경우 「상법」
제446조	[]							제446조 중 “
제192조	[]							제192조”는 “
제238조	[]	DEFINITION						제238조”로 본다. [전문개정 2010. 7. 23.]
제32조	[]	REGULATION	우선취득권	보험계약자	취득	주식회사의 자산	MANDATORY	제32조(보험계약자 등의 우선취득권) ① 보험계약자나 보험금을 취득할 자는 피보험자를 위하여 적립한 금액을 다른 법률에 특별한 규정이 없으면 주식회사의 자산에서 우선하여 취득한다. ②
제108조	[]	REGULATION	특별계정	제1항	구분하여 적용한다	계정	MANDATORY	제108조에 따라 특별계정이 설정된 경우에는 제1항은 특별계정과 그 밖의 계정을 구분하여 적용한다. [전문개정 2010. 7. 23.]
